Atualizacao,Nome Pregao,Atividade Principal,Classificacao Setorial,Site,Codigos Negociacao,CNPJ,Imobilizado,Total,Patrimonio Liquido,Lucro Prejuizo,Operacionais,Investimento,Variacao Cambial,Aumento Reducao Caixa,Fisicas,Juridicas,Investidores Institucionais,Ordinarias,Preferenciais,Total Acoes
14/03/2024,ITAUUNIBANCO,A Sociedade Tem Por Objeto A Atividade,"Financeiro / Intermediarios Financeiros /
Bancos",http://www.itau-,"['Mais Codigos', 'ITUB3; ITUB4']",60.872.504/0001-23,32499000,,199050000,33877000,77493000.0,31230000,11.529,12.286,464.049 ,12.903 ,1.422,384.672.066,"4.800.834.364 99,07",5.185.506.430
14/03/2024,ELETROBRAS,Empresa Holding de Geracao. Transmissao,"Utilidade Publica / Energia Eletrica /
Energia Eletrica",http://www.eletrobras.com),"['Mais Codigos', 'ELET3; ELET5; ELET6']",00.001.180/0001-26,148876345,267057654,112464644,4394861,8242958.0,819418 ,,2.307,134.891 ,9.466 ,1.390,2.013.846.657,"275.669.374 98,44",2.289.516.031
14/03/2024,HAPVIDA,Participacao. Como Socia Ou Acionista. em,"Saude / Serv.Med.Hospit..Analises e
Diagnosticos / Serv.Med.Hospit..Analises e",http://www.hapvida.com.br),"['Mais Codigos', 'HAPV3; HAPV99']",05.197.443/0001-38,58208836,74771863,49123078,709393,1809501.0,995928,,627.011,48.099 ,300 ,2.237,4.455.957.762,,4.455.957.762
14/03/2024,VAMOS,Locacao E Venda de Caminhoes . Maquinas,"Consumo Ciclico / Diversos / Aluguel de
carros",http://www.grupovamos.com.br/,"['Mais Codigos', 'VAMO3']",23.373.000/0001-32,13271083,19219164,4878781,391527,1683442.0,279335,,300.64,7 ,501 ,1.207,314.724.970,,314.724.970
14/03/2024,CIELO,Empresa Prestadora de Servicos de,"Financeiro / Servicos Financeiros Diversos /
Servicos Financeiros Diversos",http://www.cielo.com.br),"['Mais Codigos', 'CIEL3']",01.027.058/0001-91,9647801,107782200,14984852,2468466,959307.0,505864,,628.702,184.967 ,1.292 ,291,1.095.401.258,,1.095.401.258
14/03/2024,VALE,Mineracao,"Materiais Basicos / Mineracao / Minerais
Metalicos",,"['Mais Codigos', 'VALE3']",33.592.510/0001-54,299672000,455984000,198325000194894000,40554000,65905000.0,31425000,4.715,7.237,510.874 ,13.871 ,2.342,4.448.529.763,,4.448.529.763
14/03/2024,TAESA,Transmissao de Energia Eletrica.,"Utilidade Publica / Energia Eletrica /
Energia Eletrica",http://www.taesa.com.br),"['Mais Codigos', 'TAEE11; TAEE3; TAEE4']",07.859.971/0001-30,3889620,19448656,6679310,1367834,756402.0,75297,,222.947,392.926 ,445 ,1.175,218.568.274,"437.136.468 98,72",655.704.742
14/03/2024,ENGIE BRASIL,Geracao. Comercializacao E Transmissao de,"Utilidade Publica / Energia Eletrica /
Energia Eletrica",http://www.engie.com.br),"['Mais Codigos', 'EGIE3']",02.474.103/0001-19,23368245,42224473,9816210,3429060,4585942.0,2042414,,3.019,253.048 ,8.166 ,1.122,255.208.461,,255.208.461
14/03/2024,COPEL,Geracao. Transmissao. Comercializacao E,"Utilidade Publica / Energia Eletrica /
Energia Eletrica",http://ri.copel.com,"['Mais Codigos', 'CPLE3; CPLE5; CPLE6']",76.483.817/0001-20,25507307,55819074,24191667,2327168,3518476.0,3135091,,3.079,262.684 ,950 ,1.075,319.774.264,"1.566.493.506 93,11",1.886.267.770
14/03/2024,MAGAZ LUIZA,Somos Uma Plataforma de Varejo,"Consumo Ciclico / Comercio /
Eletrodomesticos",http://www.magazineluiza.com.br),"['Mais Codigos', 'MGLU3']",47.960.950/0001-21,9998927,36918960,9532654,269183,2597830.0,142593,,383.978,579.661 ,2.405 ,924,2.874.188.573,,2.874.188.573
